                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.64947,                 0.9596,                0.58993,                 1.0472,                0.80404,                0.76899,                0.83196,                0.64307,                0.80404,                0.76899,                0.81624,                0.60514,                0.79863,                 2.0727,                0.86329,                  1.374,              0.0070795,              0.0070795,              0.0070795
                     61,                0.66439,                0.90102,                0.59722,                 1.0684,                  0.882,                0.80758,                0.88727,                0.70083,                  0.882,                0.80758,                0.88084,                0.68528,                0.75817,                 1.6821,                 0.7457,                 1.2866,                0.00703,                0.00703,                0.00703
                     62,                0.66593,                0.85998,                0.59693,                 1.0664,                0.80808,                0.76162,                0.84679,                0.64438,                0.80137,                0.74311,                0.83862,                0.65059,                0.84706,                 1.7223,                 1.0039,                 1.3982,              0.0069805,              0.0069805,              0.0069805
                     63,                0.65452,                0.84706,                0.57276,                 1.0458,                  0.761,                0.76328,                 0.8408,                0.64162,                  0.761,                0.76328,                0.83686,                0.63354,                0.82839,                 1.9825,                0.99427,                 1.4002,               0.006931,               0.006931,               0.006931
                     64,                0.64876,                0.91075,                0.58005,                 1.0642,                0.88674,                0.76098,                0.87415,                0.68439,                0.88774,                0.76134,                0.87226,                0.66953,                0.75263,                 1.9122,                0.76239,                 1.3078,              0.0068815,              0.0068815,              0.0068815
                     65,                0.63779,                0.86474,                0.57531,                 1.0617,                0.81088,                0.81625,                0.88349,                0.65801,                0.80284,                0.80737,                0.84306,                0.62324,                0.79578,                 2.1227,                0.86464,                 1.3562,               0.006832,               0.006832,               0.006832
                     66,                0.63983,                  0.944,                0.58538,                  1.058,                0.87377,                0.77622,                0.84876,                0.63844,                0.84822,                0.76123,                0.83425,                0.60788,                0.85305,                 2.1035,                0.89987,                  1.436,              0.0067825,              0.0067825,              0.0067825
                     67,                0.63483,                0.96449,                 0.5747,                 1.0567,                0.86376,                0.86788,                0.89738,                0.68527,                 0.8467,                0.85178,                 0.8736,                0.65896,                0.79011,                  1.671,                 0.7992,                 1.3389,               0.006733,               0.006733,               0.006733
                     68,                0.63239,                0.84993,                0.56663,                  1.041,                0.81798,                0.87173,                0.90913,                0.72335,                0.86763,                0.80346,                0.89193,                0.67712,                0.73329,                 1.7847,                0.74188,                 1.2825,              0.0066835,              0.0066835,              0.0066835
                     69,                0.62687,                0.88463,                0.54778,                 1.0423,                 0.8475,                0.87773,                0.91803,                0.70082,                0.82071,                0.84637,                0.88837,                0.66512,                0.75198,                 1.8726,                0.74717,                 1.2838,               0.006634,               0.006634,               0.006634
